index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/19 12:58:00.403, 147.90, 11045, 22, 65, 38
0, 2021/02/19 12:58:00.454, 102.64, 11045, 22, 65, 38
0, 2021/02/19 12:58:00.505, 76.12, 11045, 24, 62, 38
0, 2021/02/19 12:58:00.558, 101.29, 11045, 24, 62, 38
0, 2021/02/19 12:58:00.609, 127.82, 11045, 24, 62, 38
0, 2021/02/19 12:58:00.660, 143.03, 11045, 27, 66, 38
0, 2021/02/19 12:58:00.712, 112.21, 11045, 27, 66, 38
0, 2021/02/19 12:58:00.763, 84.11, 11045, 27, 66, 38
0, 2021/02/19 12:58:00.813, 117.38, 11045, 27, 66, 38
0, 2021/02/19 12:58:00.866, 134.33, 11045, 15, 50, 38
0, 2021/02/19 12:58:00.917, 145.62, 11045, 15, 50, 38
0, 2021/02/19 12:58:00.968, 95.43, 11045, 15, 50, 38
0, 2021/02/19 12:58:01.021, 77.28, 11045, 24, 62, 38
0, 2021/02/19 12:58:01.072, 96.49, 11045, 24, 62, 38
0, 2021/02/19 12:58:01.123, 132.42, 11045, 24, 62, 38
0, 2021/02/19 12:58:01.176, 142.65, 11045, 27, 67, 38
0, 2021/02/19 12:58:01.226, 116.44, 11045, 27, 67, 38
0, 2021/02/19 12:58:01.277, 80.43, 11045, 27, 67, 38
0, 2021/02/19 12:58:01.330, 95.85, 11045, 10, 36, 38
0, 2021/02/19 12:58:01.380, 125.64, 11045, 10, 36, 38
0, 2021/02/19 12:58:01.431, 142.45, 11045, 10, 36, 38
0, 2021/02/19 12:58:01.484, 117.60, 11045, 10, 36, 38
0, 2021/02/19 12:58:01.535, 86.50, 11045, 29, 75, 38
0, 2021/02/19 12:58:01.586, 89.37, 11045, 29, 75, 38
0, 2021/02/19 12:58:01.638, 123.43, 11045, 29, 75, 38
0, 2021/02/19 12:58:01.689, 135.00, 11045, 22, 58, 38
0, 2021/02/19 12:58:01.740, 122.17, 11045, 22, 58, 38
0, 2021/02/19 12:58:01.793, 96.95, 11045, 22, 58, 38
0, 2021/02/19 12:58:01.844, 125.22, 11045, 22, 58, 38
0, 2021/02/19 12:58:01.895, 140.04, 11045, 24, 68, 38
0, 2021/02/19 12:58:01.948, 130.59, 11045, 24, 68, 38
0, 2021/02/19 12:58:01.998, 91.78, 11045, 24, 68, 38
0, 2021/02/19 12:58:02.049, 128.48, 11045, 25, 67, 38
0, 2021/02/19 12:58:02.102, 137.10, 11045, 25, 67, 38
0, 2021/02/19 12:58:02.152, 144.57, 11045, 25, 67, 38
0, 2021/02/19 12:58:02.203, 92.94, 11045, 28, 73, 38
0, 2021/02/19 12:58:02.256, 124.97, 11045, 28, 73, 38
0, 2021/02/19 12:58:02.306, 136.54, 11045, 28, 73, 38
0, 2021/02/19 12:58:02.357, 134.33, 11045, 28, 73, 38
