index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/19 12:45:57.634, 129.56, 11044, 37, 64, 41
0, 2021/02/19 12:45:57.685, 97.09, 11044, 37, 64, 41
0, 2021/02/19 12:45:57.736, 97.09, 11044, 25, 39, 41
0, 2021/02/19 12:45:57.786, 116.84, 11044, 25, 39, 41
0, 2021/02/19 12:45:57.837, 116.84, 11044, 25, 39, 41
0, 2021/02/19 12:45:57.888, 105.07, 11044, 42, 69, 41
0, 2021/02/19 12:45:57.939, 105.07, 11044, 42, 69, 41
0, 2021/02/19 12:45:57.990, 113.59, 11044, 42, 69, 41
0, 2021/02/19 12:45:58.041, 113.59, 11044, 45, 74, 41
0, 2021/02/19 12:45:58.091, 110.64, 11044, 45, 74, 41
0, 2021/02/19 12:45:58.142, 110.64, 11044, 45, 74, 41
0, 2021/02/19 12:45:58.193, 107.37, 11044, 28, 50, 41
0, 2021/02/19 12:45:58.244, 107.37, 11044, 28, 50, 41
0, 2021/02/19 12:45:58.295, 118.86, 11044, 28, 50, 41
0, 2021/02/19 12:45:58.346, 118.86, 11044, 28, 50, 41
0, 2021/02/19 12:45:58.397, 103.03, 11044, 30, 49, 41
0, 2021/02/19 12:45:58.448, 125.96, 11044, 30, 49, 41
0, 2021/02/19 12:45:58.503, 125.96, 11044, 30, 49, 41
0, 2021/02/19 12:45:58.554, 96.15, 11044, 33, 54, 41
0, 2021/02/19 12:45:58.605, 96.15, 11044, 33, 54, 41
0, 2021/02/19 12:45:58.656, 128.52, 11044, 33, 54, 41
0, 2021/02/19 12:45:58.707, 128.52, 11044, 45, 75, 41
0, 2021/02/19 12:45:58.758, 91.85, 11044, 45, 75, 41
0, 2021/02/19 12:45:58.808, 91.85, 11044, 45, 75, 41
0, 2021/02/19 12:45:58.859, 125.13, 11044, 45, 75, 41
0, 2021/02/19 12:45:58.910, 125.13, 11044, 38, 62, 41
0, 2021/02/19 12:45:58.961, 102.18, 11044, 38, 62, 41
0, 2021/02/19 12:45:59.012, 102.18, 11044, 38, 62, 41
0, 2021/02/19 12:45:59.063, 130.44, 11044, 36, 63, 41
0, 2021/02/19 12:45:59.114, 130.44, 11044, 36, 63, 41
0, 2021/02/19 12:45:59.164, 107.56, 11044, 36, 63, 41
0, 2021/02/19 12:45:59.215, 107.56, 11044, 38, 64, 41
