index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/19 13:01:37.152, 38.04, 11895, 19, 46, 37
0, 2021/02/19 13:01:37.206, 35.60, 11895, 11, 28, 36
0, 2021/02/19 13:01:37.260, 81.53, 11895, 11, 28, 37
0, 2021/02/19 13:01:37.313, 36.08, 11895, 11, 28, 37
0, 2021/02/19 13:01:37.367, 123.38, 11895, 11, 28, 36
0, 2021/02/19 13:01:37.421, 41.21, 11895, 11, 28, 37
0, 2021/02/19 13:01:37.474, 35.62, 11895, 11, 28, 36
0, 2021/02/19 13:01:37.528, 127.20, 11895, 17, 42, 37
0, 2021/02/19 13:01:37.581, 37.06, 11895, 17, 42, 37
0, 2021/02/19 13:01:37.635, 66.44, 11895, 17, 42, 36
0, 2021/02/19 13:01:37.689, 59.70, 11895, 17, 40, 37
0, 2021/02/19 13:01:37.742, 35.84, 11895, 17, 40, 36
0, 2021/02/19 13:01:37.796, 59.17, 11895, 17, 40, 36
0, 2021/02/19 13:01:37.853, 62.37, 11895, 11, 28, 37
0, 2021/02/19 13:01:37.906, 35.84, 11895, 11, 28, 36
0, 2021/02/19 13:01:37.960, 94.79, 11895, 11, 28, 36
0, 2021/02/19 13:01:38.013, 50.20, 11895, 11, 30, 37
0, 2021/02/19 13:01:38.067, 35.60, 11895, 11, 30, 36
0, 2021/02/19 13:01:38.121, 124.53, 11895, 11, 30, 36
0, 2021/02/19 13:01:38.174, 37.31, 11895, 11, 30, 37
0, 2021/02/19 13:01:38.228, 122.42, 11895, 11, 28, 37
0, 2021/02/19 13:01:38.281, 39.01, 11895, 11, 28, 37
0, 2021/02/19 13:01:38.335, 68.39, 11895, 11, 28, 36
0, 2021/02/19 13:01:38.392, 60.19, 11895, 14, 35, 37
0, 2021/02/19 13:01:38.445, 35.84, 11895, 14, 35, 37
0, 2021/02/19 13:01:38.499, 81.53, 11895, 14, 35, 37
0, 2021/02/19 13:01:38.553, 36.33, 11895, 20, 48, 37
0, 2021/02/19 13:01:38.607, 82.26, 11895, 20, 48, 37
0, 2021/02/19 13:01:38.660, 36.33, 11895, 20, 48, 37
0, 2021/02/19 13:01:38.714, 56.25, 11895, 11, 28, 36
0, 2021/02/19 13:01:38.767, 61.61, 11895, 11, 28, 37
0, 2021/02/19 13:01:38.821, 35.86, 11895, 11, 28, 37
0, 2021/02/19 13:01:38.874, 37.06, 11895, 11, 28, 36
0, 2021/02/19 13:01:38.928, 66.97, 11895, 11, 28, 37
0, 2021/02/19 13:01:38.982, 36.08, 11895, 11, 28, 37
0, 2021/02/19 13:01:39.035, 58.20, 11895, 11, 28, 36
0, 2021/02/19 13:01:39.091, 62.83, 11895, 11, 28, 37
0, 2021/02/19 13:01:39.145, 35.84, 11895, 11, 28, 36
0, 2021/02/19 13:01:39.199, 118.29, 11895, 11, 28, 36
0, 2021/02/19 13:01:39.253, 44.86, 11895, 11, 28, 37
0, 2021/02/19 13:01:39.306, 35.62, 11895, 11, 28, 37
0, 2021/02/19 13:01:39.360, 87.07, 11895, 11, 28, 36
