index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/22 14:25:22.227, 83.49, 14870, 0, 5, 54
0, 2021/02/22 14:25:22.284, 33.71, 14870, 57, 70, 53
0, 2021/02/22 14:25:22.336, 33.71, 14870, 57, 70, 53
0, 2021/02/22 14:25:22.389, 34.75, 14870, 57, 70, 53
0, 2021/02/22 14:25:22.443, 34.75, 14870, 57, 70, 53
0, 2021/02/22 14:25:22.496, 74.71, 14870, 4, 8, 54
0, 2021/02/22 14:25:22.549, 74.71, 14870, 4, 8, 54
0, 2021/02/22 14:25:22.605, 66.80, 14870, 4, 8, 54
0, 2021/02/22 14:25:22.658, 66.80, 14870, 4, 8, 53
0, 2021/02/22 14:25:22.711, 34.27, 14870, 49, 67, 53
0, 2021/02/22 14:25:22.767, 34.27, 14870, 49, 67, 53
0, 2021/02/22 14:25:22.820, 35.14, 14870, 49, 67, 53
0, 2021/02/22 14:25:22.872, 35.14, 14870, 49, 67, 54
0, 2021/02/22 14:25:22.934, 77.86, 14870, 22, 32, 54
0, 2021/02/22 14:25:22.992, 33.98, 14870, 22, 32, 53
0, 2021/02/22 14:25:23.045, 33.98, 14870, 22, 32, 53
0, 2021/02/22 14:25:23.098, 34.65, 14870, 30, 40, 53
0, 2021/02/22 14:25:23.152, 34.65, 14870, 30, 40, 53
0, 2021/02/22 14:25:23.204, 77.43, 14870, 30, 40, 54
0, 2021/02/22 14:25:23.257, 77.43, 14870, 30, 40, 54
0, 2021/02/22 14:25:23.316, 68.19, 14870, 44, 57, 54
0, 2021/02/22 14:25:23.369, 68.19, 14870, 44, 57, 53
0, 2021/02/22 14:25:23.422, 34.17, 14870, 44, 57, 53
0, 2021/02/22 14:25:23.476, 34.17, 14870, 44, 57, 53
0, 2021/02/22 14:25:23.529, 35.14, 14870, 8, 16, 53
0, 2021/02/22 14:25:23.582, 35.14, 14870, 8, 16, 54
0, 2021/02/22 14:25:23.641, 76.48, 14870, 8, 16, 54
0, 2021/02/22 14:25:23.694, 33.59, 14870, 52, 71, 53
0, 2021/02/22 14:25:23.747, 33.59, 14870, 52, 71, 53
0, 2021/02/22 14:25:23.803, 34.85, 14870, 52, 71, 53
0, 2021/02/22 14:25:23.856, 34.85, 14870, 52, 71, 53
0, 2021/02/22 14:25:23.909, 91.08, 14870, 8, 13, 54
0, 2021/02/22 14:25:23.967, 91.08, 14870, 8, 13, 54
0, 2021/02/22 14:25:24.027, 70.06, 14870, 8, 13, 54
0, 2021/02/22 14:25:24.079, 70.06, 14870, 8, 13, 53
0, 2021/02/22 14:25:24.132, 34.37, 14870, 46, 61, 53
0, 2021/02/22 14:25:24.186, 34.37, 14870, 46, 61, 53
0, 2021/02/22 14:25:24.239, 35.24, 14870, 46, 61, 54
0, 2021/02/22 14:25:24.292, 35.24, 14870, 46, 61, 54
0, 2021/02/22 14:25:24.352, 72.89, 14870, 28, 39, 54
0, 2021/02/22 14:25:24.412, 33.32, 14870, 28, 39, 53
0, 2021/02/22 14:25:24.465, 33.32, 14870, 28, 39, 53
0, 2021/02/22 14:25:24.517, 34.85, 14870, 24, 34, 53
0, 2021/02/22 14:25:24.572, 34.85, 14870, 24, 34, 53
0, 2021/02/22 14:25:24.624, 91.97, 14870, 24, 34, 54
0, 2021/02/22 14:25:24.677, 91.97, 14870, 24, 34, 54
0, 2021/02/22 14:25:24.737, 63.58, 14870, 50, 66, 54
0, 2021/02/22 14:25:24.789, 63.58, 14870, 50, 66, 53
