index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/19 13:17:29.632, 67.16, 31452, 8, 15, 40
0, 2021/02/19 13:17:29.684, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:29.735, 94.24, 31452, 8, 15, 40
0, 2021/02/19 13:17:29.786, 56.02, 31452, 8, 15, 40
0, 2021/02/19 13:17:29.838, 124.55, 31452, 8, 15, 40
0, 2021/02/19 13:17:29.889, 56.02, 31452, 15, 29, 40
0, 2021/02/19 13:17:29.941, 138.32, 31452, 15, 29, 40
0, 2021/02/19 13:17:29.992, 57.97, 31452, 15, 29, 40
0, 2021/02/19 13:17:30.044, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.095, 78.82, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.146, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.198, 124.39, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.249, 58.45, 31452, 15, 26, 40
0, 2021/02/19 13:17:30.301, 55.05, 31452, 15, 26, 40
0, 2021/02/19 13:17:30.352, 80.76, 31452, 15, 26, 40
0, 2021/02/19 13:17:30.404, 55.50, 31452, 9, 18, 40
0, 2021/02/19 13:17:30.455, 92.72, 31452, 9, 18, 40
0, 2021/02/19 13:17:30.507, 60.36, 31452, 9, 18, 40
0, 2021/02/19 13:17:30.558, 55.08, 31452, 8, 15, 39
0, 2021/02/19 13:17:30.610, 122.61, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.661, 56.51, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.713, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.764, 79.73, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.815, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.867, 101.44, 31452, 8, 15, 40
0, 2021/02/19 13:17:30.918, 56.02, 31452, 16, 29, 40
0, 2021/02/19 13:17:30.970, 149.43, 31452, 16, 29, 40
0, 2021/02/19 13:17:31.022, 56.99, 31452, 16, 29, 40
0, 2021/02/19 13:17:31.073, 123.98, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.125, 56.51, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.176, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.228, 68.13, 31452, 15, 27, 40
0, 2021/02/19 13:17:31.279, 55.53, 31452, 15, 27, 40
0, 2021/02/19 13:17:31.330, 143.73, 31452, 15, 27, 40
0, 2021/02/19 13:17:31.383, 56.99, 31452, 8, 16, 40
0, 2021/02/19 13:17:31.434, 55.01, 31452, 8, 16, 40
0, 2021/02/19 13:17:31.485, 144.30, 31452, 8, 16, 40
0, 2021/02/19 13:17:31.537, 56.96, 31452, 8, 16, 40
0, 2021/02/19 13:17:31.588, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.640, 71.97, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.691, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.743, 101.44, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.795, 59.91, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.846, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.898, 82.11, 31452, 8, 15, 40
0, 2021/02/19 13:17:31.949, 60.88, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.001, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.052, 102.41, 31452, 15, 27, 40
0, 2021/02/19 13:17:32.104, 55.98, 31452, 15, 27, 40
0, 2021/02/19 13:17:32.156, 55.05, 31452, 15, 27, 40
0, 2021/02/19 13:17:32.207, 62.30, 31452, 15, 27, 40
0, 2021/02/19 13:17:32.258, 55.08, 31452, 8, 17, 40
0, 2021/02/19 13:17:32.310, 78.33, 31452, 8, 17, 40
0, 2021/02/19 13:17:32.361, 55.53, 31452, 8, 17, 40
0, 2021/02/19 13:17:32.413, 77.79, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.465, 61.33, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.516, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.568, 149.91, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.619, 56.99, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.671, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:32.722, 76.87, 31452, 16, 27, 40
0, 2021/02/19 13:17:32.774, 55.53, 31452, 16, 27, 40
0, 2021/02/19 13:17:32.826, 55.08, 31452, 16, 27, 40
0, 2021/02/19 13:17:32.877, 78.33, 31452, 16, 27, 40
0, 2021/02/19 13:17:32.929, 55.53, 31452, 8, 16, 40
0, 2021/02/19 13:17:32.980, 60.36, 31452, 8, 16, 40
0, 2021/02/19 13:17:33.032, 61.81, 31452, 8, 16, 40
0, 2021/02/19 13:17:33.083, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:33.135, 83.51, 31452, 8, 15, 40
0, 2021/02/19 13:17:33.187, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:33.238, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:33.290, 70.07, 31452, 8, 15, 40
0, 2021/02/19 13:17:33.341, 55.57, 31452, 8, 15, 40
0, 2021/02/19 13:17:33.393, 97.14, 31452, 15, 27, 40
0, 2021/02/19 13:17:33.444, 56.02, 31452, 15, 27, 40
0, 2021/02/19 13:17:33.495, 143.24, 31452, 15, 27, 40
0, 2021/02/19 13:17:33.547, 57.48, 31452, 15, 27, 40
0, 2021/02/19 13:17:33.598, 66.14, 31452, 8, 17, 40
0, 2021/02/19 13:17:33.650, 61.37, 31452, 8, 17, 40
0, 2021/02/19 13:17:33.701, 55.50, 31452, 8, 17, 40
0, 2021/02/19 13:17:33.753, 75.41, 31452, 9, 17, 40
0, 2021/02/19 13:17:33.804, 55.53, 31452, 9, 17, 40
0, 2021/02/19 13:17:33.856, 115.91, 31452, 9, 17, 40
0, 2021/02/19 13:17:33.908, 56.02, 31452, 14, 26, 40
0, 2021/02/19 13:17:33.959, 55.05, 31452, 14, 26, 40
0, 2021/02/19 13:17:34.011, 118.82, 31452, 14, 26, 40
0, 2021/02/19 13:17:34.062, 56.51, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.114, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.165, 91.75, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.217, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.268, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.320, 63.31, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.371, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.423, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.474, 63.31, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.526, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.578, 131.24, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.630, 58.45, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.681, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.733, 64.20, 31452, 16, 29, 40
0, 2021/02/19 13:17:34.784, 55.05, 31452, 16, 29, 40
0, 2021/02/19 13:17:34.835, 76.77, 31452, 16, 29, 40
0, 2021/02/19 13:17:34.887, 55.57, 31452, 16, 29, 40
0, 2021/02/19 13:17:34.938, 140.43, 31452, 8, 15, 40
0, 2021/02/19 13:17:34.990, 57.48, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.042, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.093, 71.04, 31452, 10, 18, 40
0, 2021/02/19 13:17:35.144, 55.53, 31452, 10, 18, 40
0, 2021/02/19 13:17:35.196, 147.98, 31452, 10, 18, 40
0, 2021/02/19 13:17:35.247, 56.99, 31452, 13, 26, 40
0, 2021/02/19 13:17:35.299, 55.01, 31452, 13, 26, 40
0, 2021/02/19 13:17:35.351, 82.16, 31452, 13, 26, 40
0, 2021/02/19 13:17:35.402, 55.50, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.454, 92.23, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.505, 59.91, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.556, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.608, 132.21, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.659, 56.51, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.712, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.764, 83.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.816, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.867, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:35.919, 66.71, 31452, 15, 27, 40
0, 2021/02/19 13:17:35.970, 55.05, 31452, 15, 27, 40
0, 2021/02/19 13:17:36.022, 80.22, 31452, 15, 27, 40
0, 2021/02/19 13:17:36.073, 55.53, 31452, 8, 17, 40
0, 2021/02/19 13:17:36.124, 91.81, 31452, 8, 17, 40
0, 2021/02/19 13:17:36.176, 56.02, 31452, 8, 17, 40
0, 2021/02/19 13:17:36.227, 109.13, 31452, 15, 27, 40
0, 2021/02/19 13:17:36.279, 56.02, 31452, 15, 27, 40
0, 2021/02/19 13:17:36.330, 128.25, 31452, 15, 27, 40
0, 2021/02/19 13:17:36.382, 58.45, 31452, 15, 27, 40
0, 2021/02/19 13:17:36.433, 55.01, 31452, 8, 16, 40
0, 2021/02/19 13:17:36.485, 128.91, 31452, 8, 16, 40
0, 2021/02/19 13:17:36.536, 57.97, 31452, 8, 16, 40
0, 2021/02/19 13:17:36.588, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:36.639, 79.79, 31452, 8, 15, 40
0, 2021/02/19 13:17:36.691, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:36.742, 90.78, 31452, 8, 15, 40
0, 2021/02/19 13:17:36.794, 60.36, 31452, 8, 15, 40
0, 2021/02/19 13:17:36.845, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:36.896, 134.06, 31452, 16, 27, 40
0, 2021/02/19 13:17:36.948, 56.51, 31452, 16, 27, 40
0, 2021/02/19 13:17:36.999, 55.01, 31452, 16, 27, 40
0, 2021/02/19 13:17:37.051, 85.07, 31452, 16, 27, 40
0, 2021/02/19 13:17:37.102, 55.53, 31452, 8, 17, 40
0, 2021/02/19 13:17:37.154, 75.41, 31452, 8, 17, 40
0, 2021/02/19 13:17:37.205, 55.53, 31452, 8, 17, 40
0, 2021/02/19 13:17:37.257, 129.31, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.308, 58.45, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.360, 55.01, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.411, 70.07, 31452, 15, 28, 40
0, 2021/02/19 13:17:37.462, 55.50, 31452, 15, 28, 40
0, 2021/02/19 13:17:37.514, 85.56, 31452, 15, 28, 40
0, 2021/02/19 13:17:37.566, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.617, 111.62, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.669, 56.06, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.720, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:37.772, 64.28, 31452, 11, 20, 40
0, 2021/02/19 13:17:37.823, 55.53, 31452, 11, 20, 40
0, 2021/02/19 13:17:37.875, 55.05, 31452, 11, 20, 40
0, 2021/02/19 13:17:37.927, 62.74, 31452, 12, 21, 40
0, 2021/02/19 13:17:37.978, 55.05, 31452, 12, 21, 40
0, 2021/02/19 13:17:38.029, 136.47, 31452, 12, 21, 40
0, 2021/02/19 13:17:38.081, 57.48, 31452, 8, 17, 40
0, 2021/02/19 13:17:38.132, 55.05, 31452, 8, 17, 40
0, 2021/02/19 13:17:38.184, 104.42, 31452, 8, 17, 40
0, 2021/02/19 13:17:38.236, 56.06, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.287, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.339, 76.87, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.390, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.442, 111.62, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.493, 56.47, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.545, 136.56, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.596, 57.44, 31452, 15, 29, 40
0, 2021/02/19 13:17:38.648, 60.84, 31452, 15, 29, 40
0, 2021/02/19 13:17:38.699, 62.34, 31452, 15, 29, 40
0, 2021/02/19 13:17:38.751, 55.05, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.802, 75.41, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.853, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.905, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:38.957, 73.91, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.008, 55.57, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.060, 136.96, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.111, 57.97, 31452, 15, 27, 40
0, 2021/02/19 13:17:39.163, 55.05, 31452, 15, 27, 40
0, 2021/02/19 13:17:39.214, 101.03, 31452, 15, 27, 40
0, 2021/02/19 13:17:39.266, 56.02, 31452, 8, 17, 40
0, 2021/02/19 13:17:39.318, 55.05, 31452, 8, 17, 40
0, 2021/02/19 13:17:39.369, 65.26, 31452, 8, 17, 40
0, 2021/02/19 13:17:39.421, 55.53, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.472, 136.56, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.523, 57.44, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.575, 55.08, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.626, 120.19, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.678, 56.51, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.730, 60.36, 31452, 8, 15, 40
0, 2021/02/19 13:17:39.781, 62.34, 31452, 11, 21, 40
0, 2021/02/19 13:17:39.833, 55.05, 31452, 11, 21, 40
0, 2021/02/19 13:17:39.884, 66.18, 31452, 11, 21, 40
0, 2021/02/19 13:17:39.936, 60.36, 31452, 12, 23, 40
0, 2021/02/19 13:17:39.987, 61.81, 31452, 12, 23, 40
