index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/27 04:13:51.006, 113.31, 11044, 32, 56, 62
0, 2021/02/27 04:13:51.058, 113.31, 11044, 32, 56, 62
0, 2021/02/27 04:13:51.110, 124.57, 11044, 32, 56, 62
0, 2021/02/27 04:13:51.163, 90.85, 11044, 26, 40, 62
0, 2021/02/27 04:13:51.217, 90.85, 11044, 26, 40, 62
0, 2021/02/27 04:13:51.270, 88.53, 11044, 26, 40, 62
0, 2021/02/27 04:13:51.322, 88.53, 11044, 26, 40, 62
0, 2021/02/27 04:13:51.374, 129.06, 11044, 26, 46, 62
0, 2021/02/27 04:13:51.426, 129.06, 11044, 26, 46, 62
0, 2021/02/27 04:13:51.478, 104.36, 11044, 26, 46, 62
0, 2021/02/27 04:13:51.530, 104.36, 11044, 32, 51, 62
0, 2021/02/27 04:13:51.582, 82.96, 11044, 32, 51, 62
0, 2021/02/27 04:13:51.634, 82.96, 11044, 32, 51, 62
0, 2021/02/27 04:13:51.686, 87.04, 11044, 4, 8, 62
0, 2021/02/27 04:13:51.739, 87.04, 11044, 4, 8, 62
0, 2021/02/27 04:13:51.791, 128.31, 11044, 4, 8, 62
0, 2021/02/27 04:13:51.843, 128.31, 11044, 54, 88, 62
0, 2021/02/27 04:13:51.895, 103.73, 11044, 54, 88, 62
0, 2021/02/27 04:13:51.947, 103.73, 11044, 54, 88, 62
0, 2021/02/27 04:13:51.999, 131.05, 11044, 42, 69, 62
0, 2021/02/27 04:13:52.051, 131.05, 11044, 42, 69, 63
0, 2021/02/27 04:13:52.103, 119.23, 11044, 42, 69, 62
0, 2021/02/27 04:13:52.155, 119.23, 11044, 42, 69, 62
0, 2021/02/27 04:13:52.208, 122.53, 11044, 35, 58, 63
0, 2021/02/27 04:13:52.260, 122.53, 11044, 35, 58, 62
0, 2021/02/27 04:13:52.312, 137.30, 11044, 35, 58, 62
0, 2021/02/27 04:13:52.364, 137.30, 11044, 40, 65, 62
0, 2021/02/27 04:13:52.416, 110.96, 11044, 40, 65, 62
0, 2021/02/27 04:13:52.468, 136.73, 11044, 40, 65, 63
0, 2021/02/27 04:13:52.523, 136.73, 11044, 57, 92, 63
0, 2021/02/27 04:13:52.575, 104.89, 11044, 57, 92, 62
0, 2021/02/27 04:13:52.627, 104.89, 11044, 57, 92, 63
0, 2021/02/27 04:13:52.680, 133.69, 11044, 32, 57, 63
0, 2021/02/27 04:13:52.732, 133.69, 11044, 32, 57, 63
0, 2021/02/27 04:13:52.784, 117.19, 11044, 32, 57, 63
