index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/26 22:34:14.039, 103.07, 7488, 22, 27, 29
0, 2021/02/26 22:34:14.093, 105.83, 7488, 22, 27, 29
0, 2021/02/26 22:34:14.147, 51.73, 7488, 62, 73, 29
0, 2021/02/26 22:34:14.201, 43.80, 7488, 62, 73, 28
0, 2021/02/26 22:34:14.255, 130.02, 7488, 62, 73, 29
0, 2021/02/26 22:34:14.310, 112.72, 7488, 48, 56, 30
0, 2021/02/26 22:34:14.364, 46.27, 7488, 48, 56, 29
0, 2021/02/26 22:34:14.418, 52.41, 7488, 48, 56, 28
0, 2021/02/26 22:34:14.472, 130.47, 7488, 42, 51, 29
0, 2021/02/26 22:34:14.526, 110.14, 7488, 42, 51, 30
0, 2021/02/26 22:34:14.580, 43.53, 7488, 42, 51, 29
0, 2021/02/26 22:34:14.634, 91.35, 7488, 42, 51, 29
0, 2021/02/26 22:34:14.688, 119.55, 7488, 43, 51, 30
0, 2021/02/26 22:34:14.743, 72.66, 7488, 43, 51, 30
0, 2021/02/26 22:34:14.797, 46.05, 7488, 43, 51, 29
0, 2021/02/26 22:34:14.851, 102.86, 7488, 52, 61, 29
0, 2021/02/26 22:34:14.905, 103.10, 7488, 52, 61, 30
0, 2021/02/26 22:34:14.960, 54.34, 7488, 52, 61, 29
0, 2021/02/26 22:34:15.014, 45.10, 7488, 62, 73, 29
0, 2021/02/26 22:34:15.069, 116.30, 7488, 62, 73, 29
0, 2021/02/26 22:34:15.123, 111.15, 7488, 62, 73, 30
0, 2021/02/26 22:34:15.180, 44.97, 7488, 58, 67, 29
0, 2021/02/26 22:34:15.234, 45.90, 7488, 58, 67, 28
0, 2021/02/26 22:34:15.288, 128.44, 7488, 58, 67, 30
0, 2021/02/26 22:34:15.342, 112.84, 7488, 41, 50, 30
0, 2021/02/26 22:34:15.396, 44.12, 7488, 41, 50, 29
0, 2021/02/26 22:34:15.450, 43.66, 7488, 41, 50, 28
0, 2021/02/26 22:34:15.504, 47.91, 7488, 24, 29, 28
0, 2021/02/26 22:34:15.559, 129.03, 7488, 24, 29, 30
0, 2021/02/26 22:34:15.613, 111.36, 7488, 24, 29, 30
0, 2021/02/26 22:34:15.667, 46.28, 7488, 61, 71, 29
0, 2021/02/26 22:34:15.721, 42.97, 7488, 61, 71, 28
0, 2021/02/26 22:34:15.775, 49.49, 7488, 61, 71, 28
0, 2021/02/26 22:34:15.829, 133.50, 7488, 18, 23, 30
0, 2021/02/26 22:34:15.883, 104.61, 7488, 18, 23, 30
0, 2021/02/26 22:34:15.938, 42.52, 7488, 18, 23, 29
0, 2021/02/26 22:34:15.992, 41.93, 7488, 43, 51, 28
0, 2021/02/26 22:34:16.046, 43.93, 7488, 43, 51, 28
0, 2021/02/26 22:34:16.101, 134.79, 7488, 43, 51, 30
0, 2021/02/26 22:34:16.155, 112.33, 7488, 48, 55, 30
0, 2021/02/26 22:34:16.209, 45.71, 7488, 48, 55, 29
0, 2021/02/26 22:34:16.263, 43.83, 7488, 48, 55, 28
0, 2021/02/26 22:34:16.320, 41.33, 7488, 14, 18, 28
0, 2021/02/26 22:34:16.374, 129.35, 7488, 14, 18, 29
0, 2021/02/26 22:34:16.428, 114.25, 7488, 14, 18, 30
0, 2021/02/26 22:34:16.482, 46.34, 7488, 62, 73, 29
0, 2021/02/26 22:34:16.536, 43.84, 7488, 62, 73, 28
0, 2021/02/26 22:34:16.591, 43.24, 7488, 62, 73, 28
0, 2021/02/26 22:34:16.645, 97.20, 7488, 12, 15, 28
0, 2021/02/26 22:34:16.699, 106.76, 7488, 12, 15, 30
0, 2021/02/26 22:34:16.753, 54.64, 7488, 12, 15, 30
0, 2021/02/26 22:34:16.807, 43.60, 7488, 12, 15, 29
0, 2021/02/26 22:34:16.861, 131.11, 7488, 49, 58, 29
0, 2021/02/26 22:34:16.915, 114.02, 7488, 49, 58, 30
0, 2021/02/26 22:34:16.969, 44.42, 7488, 49, 58, 29
0, 2021/02/26 22:34:17.023, 43.12, 7488, 62, 73, 29
0, 2021/02/26 22:34:17.078, 42.52, 7488, 62, 73, 28
0, 2021/02/26 22:34:17.132, 117.18, 7488, 62, 73, 29
0, 2021/02/26 22:34:17.186, 112.27, 7488, 25, 30, 30
0, 2021/02/26 22:34:17.240, 47.98, 7488, 25, 30, 29
0, 2021/02/26 22:34:17.294, 42.76, 7488, 25, 30, 28
0, 2021/02/26 22:34:17.348, 42.40, 7488, 36, 43, 28
0, 2021/02/26 22:34:17.402, 108.44, 7488, 36, 43, 29
0, 2021/02/26 22:34:17.456, 103.93, 7488, 36, 43, 30
0, 2021/02/26 22:34:17.510, 54.40, 7488, 55, 63, 29
0, 2021/02/26 22:34:17.564, 45.63, 7488, 55, 63, 28
0, 2021/02/26 22:34:17.618, 42.29, 7488, 55, 63, 28
0, 2021/02/26 22:34:17.672, 96.19, 7488, 7, 9, 28
0, 2021/02/26 22:34:17.726, 117.02, 7488, 7, 9, 30
0, 2021/02/26 22:34:17.780, 61.99, 7488, 7, 9, 29
0, 2021/02/26 22:34:17.834, 44.19, 7488, 62, 72, 29
0, 2021/02/26 22:34:17.888, 44.78, 7488, 62, 72, 28
0, 2021/02/26 22:34:17.942, 91.54, 7488, 62, 72, 28
0, 2021/02/26 22:34:18.000, 118.81, 7488, 24, 29, 30
0, 2021/02/26 22:34:18.054, 71.46, 7488, 24, 29, 30
0, 2021/02/26 22:34:18.108, 44.91, 7488, 24, 29, 29
0, 2021/02/26 22:34:18.162, 42.88, 7488, 37, 44, 28
0, 2021/02/26 22:34:18.216, 64.67, 7488, 37, 44, 28
0, 2021/02/26 22:34:18.270, 123.17, 7488, 37, 44, 29
0, 2021/02/26 22:34:18.324, 97.73, 7488, 53, 62, 30
0, 2021/02/26 22:34:18.378, 43.48, 7488, 53, 62, 29
0, 2021/02/26 22:34:18.432, 44.43, 7488, 53, 62, 28
0, 2021/02/26 22:34:18.488, 44.91, 7488, 8, 11, 28
0, 2021/02/26 22:34:18.542, 129.90, 7488, 8, 11, 29
0, 2021/02/26 22:34:18.596, 114.96, 7488, 8, 11, 30
0, 2021/02/26 22:34:18.650, 45.86, 7488, 61, 72, 29
0, 2021/02/26 22:34:18.704, 43.24, 7488, 61, 72, 28
0, 2021/02/26 22:34:18.758, 43.72, 7488, 61, 72, 28
0, 2021/02/26 22:34:18.812, 130.97, 7488, 61, 72, 29
0, 2021/02/26 22:34:18.870, 112.92, 7488, 24, 29, 30
0, 2021/02/26 22:34:18.924, 48.47, 7488, 24, 29, 29
0, 2021/02/26 22:34:18.978, 43.00, 7488, 24, 29, 29
0, 2021/02/26 22:34:19.032, 41.81, 7488, 38, 45, 28
0, 2021/02/26 22:34:19.086, 113.71, 7488, 38, 45, 28
0, 2021/02/26 22:34:19.140, 107.44, 7488, 38, 45, 30
0, 2021/02/26 22:34:19.195, 47.98, 7488, 50, 58, 29
0, 2021/02/26 22:34:19.249, 43.84, 7488, 50, 58, 29
0, 2021/02/26 22:34:19.303, 43.24, 7488, 50, 58, 28
0, 2021/02/26 22:34:19.358, 99.98, 7488, 12, 15, 28
