index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/22 15:28:52.611, 70.89, 11895, 14, 34, 36
0, 2021/02/22 15:28:52.665, 36.61, 11895, 14, 34, 35
0, 2021/02/22 15:28:52.718, 36.12, 11895, 14, 34, 35
0, 2021/02/22 15:28:52.772, 110.32, 11895, 14, 34, 36
0, 2021/02/22 15:28:52.825, 37.34, 11895, 14, 34, 35
0, 2021/02/22 15:28:52.879, 36.12, 11895, 14, 34, 35
0, 2021/02/22 15:28:52.932, 125.05, 11895, 14, 34, 36
0, 2021/02/22 15:28:52.986, 39.54, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.039, 135.16, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.096, 47.57, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.150, 36.12, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.203, 103.09, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.257, 67.24, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.310, 36.61, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.364, 36.12, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.417, 122.87, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.470, 37.34, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.524, 35.88, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.577, 123.28, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.631, 39.79, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.684, 35.88, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.738, 131.52, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.791, 45.13, 11895, 14, 34, 36
0, 2021/02/22 15:28:53.845, 36.12, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.898, 116.56, 11895, 14, 34, 35
0, 2021/02/22 15:28:53.952, 56.31, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.005, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.059, 82.48, 11895, 14, 34, 35
0, 2021/02/22 15:28:54.115, 80.58, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.169, 36.86, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.222, 35.88, 11895, 14, 34, 35
0, 2021/02/22 15:28:54.276, 134.93, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.329, 38.08, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.383, 35.88, 11895, 14, 34, 35
0, 2021/02/22 15:28:54.437, 125.78, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.490, 40.99, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.544, 36.12, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.597, 135.40, 11895, 14, 34, 35
0, 2021/02/22 15:28:54.651, 47.08, 11895, 14, 34, 36
0, 2021/02/22 15:28:54.704, 114.12, 11895, 14, 35, 36
0, 2021/02/22 15:28:54.757, 58.51, 11895, 14, 35, 36
0, 2021/02/22 15:28:54.811, 36.37, 11895, 14, 35, 36
0, 2021/02/22 15:28:54.864, 125.22, 11895, 23, 54, 36
0, 2021/02/22 15:28:54.918, 38.81, 11895, 23, 54, 36
0, 2021/02/22 15:28:54.971, 128.37, 11895, 23, 54, 36
0, 2021/02/22 15:28:55.025, 53.66, 11895, 20, 49, 36
0, 2021/02/22 15:28:55.079, 36.37, 11895, 20, 49, 36
0, 2021/02/22 15:28:55.135, 131.28, 11895, 20, 49, 36
0, 2021/02/22 15:28:55.188, 37.83, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.242, 36.12, 11895, 14, 34, 35
0, 2021/02/22 15:28:55.295, 129.36, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.349, 38.56, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.402, 35.88, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.456, 123.85, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.509, 40.52, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.563, 36.12, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.616, 132.49, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.670, 41.96, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.723, 36.12, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.777, 134.84, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.830, 47.57, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.884, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.937, 100.90, 11895, 14, 34, 36
0, 2021/02/22 15:28:55.991, 69.43, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.044, 36.61, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.098, 123.35, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.154, 39.79, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.208, 109.10, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.261, 61.88, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.315, 36.61, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.368, 122.38, 11895, 21, 52, 36
0, 2021/02/22 15:28:56.422, 39.54, 11895, 21, 52, 36
0, 2021/02/22 15:28:56.475, 100.17, 11895, 21, 52, 36
0, 2021/02/22 15:28:56.529, 68.94, 11895, 21, 51, 36
0, 2021/02/22 15:28:56.582, 36.61, 11895, 21, 51, 36
0, 2021/02/22 15:28:56.636, 128.94, 11895, 21, 51, 36
0, 2021/02/22 15:28:56.689, 41.50, 11895, 21, 51, 36
0, 2021/02/22 15:28:56.743, 36.37, 11895, 14, 35, 36
0, 2021/02/22 15:28:56.796, 132.32, 11895, 14, 35, 36
0, 2021/02/22 15:28:56.850, 45.13, 11895, 14, 35, 36
0, 2021/02/22 15:28:56.903, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:56.957, 129.18, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.010, 52.66, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.064, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.117, 133.22, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.174, 51.23, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.227, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.281, 97.99, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.334, 71.14, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.388, 36.86, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.441, 36.12, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.495, 124.08, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.548, 37.59, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.602, 133.71, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.655, 45.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.709, 63.83, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.762, 90.99, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.816, 36.86, 11895, 14, 34, 36
0, 2021/02/22 15:28:57.869, 131.52, 11895, 19, 47, 36
0, 2021/02/22 15:28:57.923, 43.91, 11895, 19, 47, 37
0, 2021/02/22 15:28:57.976, 66.02, 11895, 19, 47, 36
0, 2021/02/22 15:28:58.033, 90.51, 11895, 23, 53, 36
0, 2021/02/22 15:28:58.087, 37.10, 11895, 23, 53, 36
0, 2021/02/22 15:28:58.140, 36.37, 11895, 23, 53, 36
0, 2021/02/22 15:28:58.194, 125.60, 11895, 23, 53, 36
0, 2021/02/22 15:28:58.247, 37.59, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.301, 36.12, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.354, 132.50, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.407, 38.32, 11895, 14, 35, 36
0, 2021/02/22 15:28:58.461, 36.12, 11895, 14, 35, 36
0, 2021/02/22 15:28:58.514, 124.81, 11895, 14, 35, 36
0, 2021/02/22 15:28:58.568, 39.79, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.621, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.675, 127.72, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.728, 41.23, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.782, 36.12, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.836, 133.14, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.889, 48.30, 11895, 14, 34, 37
0, 2021/02/22 15:28:58.943, 36.37, 11895, 14, 34, 36
0, 2021/02/22 15:28:58.996, 118.08, 11895, 14, 34, 36
0, 2021/02/22 15:28:59.053, 55.83, 11895, 13, 33, 37
0, 2021/02/22 15:28:59.106, 36.61, 11895, 13, 33, 36
0, 2021/02/22 15:28:59.159, 127.00, 11895, 13, 33, 37
0, 2021/02/22 15:28:59.213, 38.81, 11895, 16, 40, 36
0, 2021/02/22 15:28:59.266, 127.94, 11895, 16, 40, 36
0, 2021/02/22 15:28:59.320, 52.66, 11895, 16, 40, 37
0, 2021/02/22 15:28:59.374, 36.61, 11895, 14, 34, 36
0, 2021/02/22 15:28:59.427, 127.65, 11895, 14, 34, 36
0, 2021/02/22 15:28:59.481, 38.56, 11895, 14, 34, 36
0, 2021/02/22 15:28:59.534, 85.15, 11895, 15, 37, 36
