index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/26 23:16:00.691, 83.04, 14870, 27, 41, 51
0, 2021/02/26 23:16:00.744, 83.04, 14870, 27, 41, 50
0, 2021/02/26 23:16:00.802, 33.81, 14870, 26, 38, 50
0, 2021/02/26 23:16:00.855, 33.81, 14870, 26, 38, 50
0, 2021/02/26 23:16:00.907, 56.56, 14870, 26, 38, 50
0, 2021/02/26 23:16:00.965, 79.14, 14870, 26, 38, 51
0, 2021/02/26 23:16:01.017, 79.14, 14870, 35, 53, 50
0, 2021/02/26 23:16:01.070, 32.97, 14870, 35, 53, 50
0, 2021/02/26 23:16:01.127, 32.97, 14870, 35, 53, 50
0, 2021/02/26 23:16:01.180, 78.65, 14870, 24, 36, 51
0, 2021/02/26 23:16:01.232, 78.65, 14870, 24, 36, 50
0, 2021/02/26 23:16:01.293, 32.85, 14870, 24, 36, 50
0, 2021/02/26 23:16:01.351, 32.85, 14870, 24, 36, 50
0, 2021/02/26 23:16:01.404, 69.16, 14870, 23, 35, 51
0, 2021/02/26 23:16:01.456, 69.16, 14870, 23, 35, 50
0, 2021/02/26 23:16:01.514, 33.75, 14870, 23, 35, 50
0, 2021/02/26 23:16:01.567, 33.75, 14870, 23, 35, 50
0, 2021/02/26 23:16:01.620, 41.94, 14870, 23, 35, 51
0, 2021/02/26 23:16:01.678, 33.24, 14870, 23, 35, 50
0, 2021/02/26 23:16:01.730, 33.24, 14870, 23, 35, 50
0, 2021/02/26 23:16:01.783, 35.02, 14870, 25, 36, 51
0, 2021/02/26 23:16:01.837, 35.02, 14870, 25, 36, 51
0, 2021/02/26 23:16:01.890, 33.44, 14870, 25, 36, 50
0, 2021/02/26 23:16:01.942, 33.44, 14870, 25, 36, 50
0, 2021/02/26 23:16:02.000, 35.14, 14870, 25, 34, 51
0, 2021/02/26 23:16:02.053, 35.14, 14870, 25, 34, 51
0, 2021/02/26 23:16:02.106, 38.13, 14870, 25, 34, 50
0, 2021/02/26 23:16:02.163, 38.13, 14870, 25, 34, 50
0, 2021/02/26 23:16:02.216, 35.17, 14870, 26, 38, 51
0, 2021/02/26 23:16:02.269, 35.17, 14870, 26, 38, 51
0, 2021/02/26 23:16:02.328, 40.11, 14870, 26, 38, 50
0, 2021/02/26 23:16:02.380, 34.80, 14870, 26, 38, 50
0, 2021/02/26 23:16:02.434, 34.80, 14870, 26, 38, 51
0, 2021/02/26 23:16:02.490, 51.21, 14870, 26, 38, 50
0, 2021/02/26 23:16:02.552, 51.21, 14870, 26, 38, 50
0, 2021/02/26 23:16:02.610, 88.57, 14870, 36, 54, 51
0, 2021/02/26 23:16:02.663, 88.57, 14870, 36, 54, 50
0, 2021/02/26 23:16:02.716, 33.45, 14870, 36, 54, 50
0, 2021/02/26 23:16:02.773, 33.45, 14870, 36, 54, 51
0, 2021/02/26 23:16:02.826, 53.51, 14870, 41, 60, 50
0, 2021/02/26 23:16:02.879, 53.51, 14870, 41, 60, 51
0, 2021/02/26 23:16:02.933, 88.10, 14870, 41, 60, 51
0, 2021/02/26 23:16:02.986, 88.10, 14870, 41, 60, 50
0, 2021/02/26 23:16:03.038, 33.73, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.091, 33.73, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.143, 53.29, 14870, 26, 38, 50
0, 2021/02/26 23:16:03.200, 34.80, 14870, 26, 38, 50
0, 2021/02/26 23:16:03.253, 34.80, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.306, 66.39, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.365, 66.39, 14870, 26, 38, 50
0, 2021/02/26 23:16:03.424, 35.02, 14870, 25, 38, 50
0, 2021/02/26 23:16:03.476, 35.02, 14870, 25, 38, 51
0, 2021/02/26 23:16:03.529, 75.95, 14870, 25, 38, 51
0, 2021/02/26 23:16:03.587, 75.95, 14870, 25, 38, 50
0, 2021/02/26 23:16:03.639, 34.73, 14870, 26, 38, 50
0, 2021/02/26 23:16:03.692, 34.73, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.749, 79.53, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.802, 34.51, 14870, 26, 38, 50
0, 2021/02/26 23:16:03.856, 34.51, 14870, 26, 38, 50
0, 2021/02/26 23:16:03.909, 89.86, 14870, 26, 38, 51
0, 2021/02/26 23:16:03.961, 89.86, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.014, 34.06, 14870, 26, 38, 50
0, 2021/02/26 23:16:04.066, 34.06, 14870, 26, 38, 50
0, 2021/02/26 23:16:04.119, 95.99, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.177, 95.99, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.229, 33.63, 14870, 26, 38, 50
0, 2021/02/26 23:16:04.282, 33.63, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.339, 41.06, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.391, 41.06, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.444, 95.02, 14870, 41, 57, 51
0, 2021/02/26 23:16:04.501, 95.02, 14870, 41, 57, 51
0, 2021/02/26 23:16:04.554, 33.57, 14870, 41, 57, 51
0, 2021/02/26 23:16:04.606, 33.57, 14870, 41, 57, 51
0, 2021/02/26 23:16:04.667, 37.23, 14870, 36, 56, 51
0, 2021/02/26 23:16:04.725, 98.84, 14870, 36, 56, 52
0, 2021/02/26 23:16:04.777, 98.84, 14870, 36, 56, 51
0, 2021/02/26 23:16:04.830, 33.45, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.887, 33.45, 14870, 26, 38, 52
0, 2021/02/26 23:16:04.940, 39.57, 14870, 26, 38, 51
0, 2021/02/26 23:16:04.993, 39.57, 14870, 26, 38, 51
0, 2021/02/26 23:16:05.050, 94.96, 14870, 41, 58, 52
0, 2021/02/26 23:16:05.103, 94.96, 14870, 41, 58, 51
0, 2021/02/26 23:16:05.155, 33.63, 14870, 41, 58, 51
0, 2021/02/26 23:16:05.213, 33.63, 14870, 41, 58, 51
0, 2021/02/26 23:16:05.265, 94.35, 14870, 24, 37, 51
0, 2021/02/26 23:16:05.318, 94.35, 14870, 24, 37, 51
0, 2021/02/26 23:16:05.375, 34.51, 14870, 24, 37, 51
0, 2021/02/26 23:16:05.428, 92.94, 14870, 24, 37, 52
0, 2021/02/26 23:16:05.482, 92.94, 14870, 24, 36, 51
0, 2021/02/26 23:16:05.541, 33.53, 14870, 24, 36, 51
0, 2021/02/26 23:16:05.600, 33.53, 14870, 24, 36, 51
0, 2021/02/26 23:16:05.653, 91.63, 14870, 23, 35, 52
0, 2021/02/26 23:16:05.705, 91.63, 14870, 23, 35, 51
0, 2021/02/26 23:16:05.763, 33.47, 14870, 23, 35, 51
0, 2021/02/26 23:16:05.816, 33.47, 14870, 23, 35, 51
0, 2021/02/26 23:16:05.868, 76.28, 14870, 23, 33, 51
0, 2021/02/26 23:16:05.926, 76.28, 14870, 23, 33, 51
0, 2021/02/26 23:16:05.979, 32.97, 14870, 23, 33, 51
0, 2021/02/26 23:16:06.031, 32.97, 14870, 23, 33, 51
0, 2021/02/26 23:16:06.085, 72.76, 14870, 25, 37, 52
0, 2021/02/26 23:16:06.137, 72.76, 14870, 25, 37, 51
0, 2021/02/26 23:16:06.190, 33.65, 14870, 25, 37, 51
0, 2021/02/26 23:16:06.242, 65.53, 14870, 25, 37, 51
0, 2021/02/26 23:16:06.295, 65.53, 14870, 25, 37, 52
0, 2021/02/26 23:16:06.352, 33.06, 14870, 25, 37, 51
0, 2021/02/26 23:16:06.404, 33.06, 14870, 25, 37, 51
0, 2021/02/26 23:16:06.457, 65.28, 14870, 26, 38, 52
0, 2021/02/26 23:16:06.515, 65.28, 14870, 26, 38, 51
0, 2021/02/26 23:16:06.568, 33.04, 14870, 26, 38, 51
0, 2021/02/26 23:16:06.620, 33.04, 14870, 26, 38, 51
0, 2021/02/26 23:16:06.674, 48.32, 14870, 23, 36, 52
0, 2021/02/26 23:16:06.727, 48.32, 14870, 23, 36, 51
0, 2021/02/26 23:16:06.781, 33.81, 14870, 23, 36, 51
0, 2021/02/26 23:16:06.839, 33.81, 14870, 23, 36, 51
0, 2021/02/26 23:16:06.891, 35.68, 14870, 24, 36, 52
0, 2021/02/26 23:16:06.944, 35.68, 14870, 24, 36, 51
0, 2021/02/26 23:16:07.001, 34.41, 14870, 24, 36, 51
0, 2021/02/26 23:16:07.054, 31.59, 14870, 24, 36, 51
0, 2021/02/26 23:16:07.109, 31.59, 14870, 24, 36, 51
0, 2021/02/26 23:16:07.164, 34.33, 14870, 24, 36, 51
0, 2021/02/26 23:16:07.217, 34.33, 14870, 24, 36, 51
0, 2021/02/26 23:16:07.270, 31.34, 14870, 25, 37, 51
0, 2021/02/26 23:16:07.324, 31.34, 14870, 25, 37, 51
0, 2021/02/26 23:16:07.377, 36.47, 14870, 25, 37, 51
0, 2021/02/26 23:16:07.429, 36.47, 14870, 25, 37, 51
0, 2021/02/26 23:16:07.485, 31.12, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.537, 31.12, 14870, 26, 39, 52
0, 2021/02/26 23:16:07.590, 40.99, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.646, 40.99, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.699, 31.20, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.751, 31.20, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.804, 45.41, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.856, 45.41, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.909, 31.37, 14870, 26, 39, 51
0, 2021/02/26 23:16:07.962, 31.37, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.014, 67.54, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.071, 30.86, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.124, 30.86, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.177, 72.84, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.237, 72.84, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.294, 31.04, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.346, 31.04, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.399, 74.10, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.459, 74.10, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.516, 31.57, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.568, 31.57, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.621, 74.63, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.673, 30.96, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.726, 30.96, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.779, 75.75, 14870, 26, 39, 51
0, 2021/02/26 23:16:08.831, 75.75, 14870, 26, 39, 51
