index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/27 04:13:46.588, 74.08, 15921, 19, 35, 31
0, 2021/02/27 04:13:46.640, 39.36, 15921, 19, 35, 31
0, 2021/02/27 04:13:46.691, 111.30, 15921, 10, 18, 32
0, 2021/02/27 04:13:46.742, 40.38, 15921, 10, 18, 31
0, 2021/02/27 04:13:46.794, 129.74, 15921, 10, 18, 31
0, 2021/02/27 04:13:46.845, 41.84, 15921, 19, 35, 31
0, 2021/02/27 04:13:46.896, 97.47, 15921, 19, 35, 31
0, 2021/02/27 04:13:46.948, 44.82, 15921, 19, 35, 31
0, 2021/02/27 04:13:46.999, 39.38, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.050, 51.84, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.102, 39.36, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.153, 38.89, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.205, 117.18, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.256, 40.40, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.308, 38.84, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.359, 49.32, 15921, 10, 17, 31
0, 2021/02/27 04:13:47.410, 48.36, 15921, 10, 17, 31
0, 2021/02/27 04:13:47.462, 39.44, 15921, 10, 17, 31
0, 2021/02/27 04:13:47.513, 39.44, 15921, 9, 18, 31
0, 2021/02/27 04:13:47.565, 142.48, 15921, 9, 18, 31
0, 2021/02/27 04:13:47.617, 40.90, 15921, 9, 18, 31
0, 2021/02/27 04:13:47.669, 39.38, 15921, 10, 17, 31
0, 2021/02/27 04:13:47.720, 38.94, 15921, 10, 17, 31
0, 2021/02/27 04:13:47.771, 56.24, 15921, 10, 17, 32
0, 2021/02/27 04:13:47.823, 39.38, 15921, 10, 17, 31
0, 2021/02/27 04:13:47.874, 58.80, 15921, 10, 18, 32
0, 2021/02/27 04:13:47.925, 39.38, 15921, 10, 18, 31
0, 2021/02/27 04:13:47.978, 71.05, 15921, 10, 18, 32
0, 2021/02/27 04:13:48.029, 39.91, 15921, 19, 35, 31
0, 2021/02/27 04:13:48.080, 88.53, 15921, 19, 35, 31
0, 2021/02/27 04:13:48.132, 39.88, 15921, 19, 35, 31
0, 2021/02/27 04:13:48.183, 115.96, 15921, 12, 21, 32
0, 2021/02/27 04:13:48.234, 40.40, 15921, 12, 21, 31
0, 2021/02/27 04:13:48.286, 147.25, 15921, 12, 21, 31
0, 2021/02/27 04:13:48.338, 41.42, 15921, 17, 31, 31
0, 2021/02/27 04:13:48.390, 39.44, 15921, 17, 31, 31
0, 2021/02/27 04:13:48.441, 39.41, 15921, 17, 31, 31
0, 2021/02/27 04:13:48.492, 52.31, 15921, 17, 31, 32
0, 2021/02/27 04:13:48.544, 39.41, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.595, 38.89, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.646, 121.90, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.699, 40.35, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.750, 39.41, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.801, 49.88, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.853, 47.80, 15921, 9, 17, 32
0, 2021/02/27 04:13:48.904, 38.86, 15921, 9, 17, 31
0, 2021/02/27 04:13:48.955, 38.89, 15921, 9, 17, 31
0, 2021/02/27 04:13:49.007, 131.22, 15921, 5, 12, 31
0, 2021/02/27 04:13:49.059, 40.93, 15921, 5, 12, 31
0, 2021/02/27 04:13:49.111, 38.89, 15921, 5, 12, 31
0, 2021/02/27 04:13:49.162, 38.86, 15921, 5, 12, 31
0, 2021/02/27 04:13:49.213, 54.26, 15921, 4, 9, 32
0, 2021/02/27 04:13:49.265, 38.81, 15921, 4, 9, 31
0, 2021/02/27 04:13:49.316, 56.71, 15921, 4, 9, 31
0, 2021/02/27 04:13:49.367, 39.36, 15921, 19, 35, 31
0, 2021/02/27 04:13:49.420, 58.19, 15921, 19, 35, 32
0, 2021/02/27 04:13:49.472, 39.41, 15921, 19, 35, 31
0, 2021/02/27 04:13:49.523, 72.63, 15921, 15, 26, 32
0, 2021/02/27 04:13:49.575, 39.38, 15921, 15, 26, 31
0, 2021/02/27 04:13:49.626, 110.24, 15921, 15, 26, 32
0, 2021/02/27 04:13:49.678, 40.40, 15921, 14, 26, 31
0, 2021/02/27 04:13:49.729, 148.24, 15921, 14, 26, 31
0, 2021/02/27 04:13:49.781, 40.88, 15921, 14, 26, 31
0, 2021/02/27 04:13:49.832, 39.44, 15921, 14, 26, 31
0, 2021/02/27 04:13:49.884, 39.38, 15921, 10, 17, 31
0, 2021/02/27 04:13:49.935, 48.79, 15921, 10, 17, 32
0, 2021/02/27 04:13:49.987, 39.36, 15921, 10, 17, 31
0, 2021/02/27 04:13:50.038, 38.89, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.090, 109.24, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.141, 40.38, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.193, 39.41, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.244, 40.46, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.295, 48.86, 15921, 10, 18, 32
0, 2021/02/27 04:13:50.346, 39.41, 15921, 9, 17, 31
0, 2021/02/27 04:13:50.398, 38.86, 15921, 9, 17, 31
0, 2021/02/27 04:13:50.449, 129.16, 15921, 9, 17, 31
0, 2021/02/27 04:13:50.502, 41.90, 15921, 9, 17, 31
0, 2021/02/27 04:13:50.553, 132.56, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.604, 42.42, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.656, 128.09, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.707, 42.89, 15921, 19, 35, 31
0, 2021/02/27 04:13:50.758, 118.02, 15921, 19, 35, 31
0, 2021/02/27 04:13:50.810, 42.86, 15921, 19, 35, 32
0, 2021/02/27 04:13:50.862, 113.71, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.913, 43.39, 15921, 10, 18, 31
0, 2021/02/27 04:13:50.965, 87.42, 15921, 10, 18, 31
0, 2021/02/27 04:13:51.016, 45.85, 15921, 19, 35, 32
0, 2021/02/27 04:13:51.067, 42.37, 15921, 19, 35, 31
0, 2021/02/27 04:13:51.119, 48.33, 15921, 19, 35, 32
0, 2021/02/27 04:13:51.170, 39.44, 15921, 19, 35, 31
0, 2021/02/27 04:13:51.223, 39.44, 15921, 10, 18, 31
0, 2021/02/27 04:13:51.274, 96.47, 15921, 10, 18, 32
0, 2021/02/27 04:13:51.326, 40.40, 15921, 10, 18, 31
0, 2021/02/27 04:13:51.377, 38.91, 15921, 10, 18, 31
0, 2021/02/27 04:13:51.428, 93.37, 15921, 10, 18, 31
0, 2021/02/27 04:13:51.479, 45.41, 15921, 10, 18, 31
0, 2021/02/27 04:13:51.531, 39.41, 15921, 9, 17, 31
0, 2021/02/27 04:13:51.583, 38.89, 15921, 9, 17, 31
0, 2021/02/27 04:13:51.635, 104.71, 15921, 9, 17, 32
0, 2021/02/27 04:13:51.686, 40.35, 15921, 9, 17, 31
0, 2021/02/27 04:13:51.737, 38.94, 15921, 9, 17, 31
0, 2021/02/27 04:13:51.788, 38.94, 15921, 9, 17, 31
0, 2021/02/27 04:13:51.840, 50.78, 15921, 9, 17, 31
0, 2021/02/27 04:13:51.891, 39.36, 15921, 10, 16, 31
0, 2021/02/27 04:13:51.944, 38.89, 15921, 10, 16, 31
0, 2021/02/27 04:13:51.995, 91.39, 15921, 10, 16, 32
0, 2021/02/27 04:13:52.046, 39.91, 15921, 10, 19, 31
0, 2021/02/27 04:13:52.098, 98.76, 15921, 10, 19, 31
0, 2021/02/27 04:13:52.149, 40.38, 15921, 10, 19, 31
0, 2021/02/27 04:13:52.200, 114.28, 15921, 10, 20, 32
0, 2021/02/27 04:13:52.252, 40.38, 15921, 10, 20, 31
0, 2021/02/27 04:13:52.304, 108.75, 15921, 10, 20, 31
0, 2021/02/27 04:13:52.356, 40.40, 15921, 18, 33, 31
0, 2021/02/27 04:13:52.407, 147.15, 15921, 18, 33, 32
0, 2021/02/27 04:13:52.459, 40.88, 15921, 18, 33, 31
0, 2021/02/27 04:13:52.510, 38.91, 15921, 18, 33, 31
0, 2021/02/27 04:13:52.561, 38.91, 15921, 10, 17, 31
0, 2021/02/27 04:13:52.612, 49.35, 15921, 10, 17, 31
0, 2021/02/27 04:13:52.665, 39.38, 15921, 10, 17, 31
0, 2021/02/27 04:13:52.716, 38.89, 15921, 10, 18, 31
0, 2021/02/27 04:13:52.768, 91.82, 15921, 10, 18, 32
0, 2021/02/27 04:13:52.820, 39.88, 15921, 10, 18, 31
0, 2021/02/27 04:13:52.871, 39.44, 15921, 9, 18, 31
0, 2021/02/27 04:13:52.922, 103.79, 15921, 9, 18, 31
0, 2021/02/27 04:13:52.973, 43.88, 15921, 9, 18, 31
0, 2021/02/27 04:13:53.026, 38.89, 15921, 10, 18, 31
0, 2021/02/27 04:13:53.077, 38.89, 15921, 10, 18, 31
0, 2021/02/27 04:13:53.128, 93.31, 15921, 10, 18, 32
0, 2021/02/27 04:13:53.179, 39.85, 15921, 10, 17, 31
0, 2021/02/27 04:13:53.231, 38.89, 15921, 10, 17, 31
0, 2021/02/27 04:13:53.282, 52.77, 15921, 10, 17, 31
0, 2021/02/27 04:13:53.333, 48.36, 15921, 10, 17, 31
0, 2021/02/27 04:13:53.385, 39.38, 15921, 10, 17, 31
0, 2021/02/27 04:13:53.436, 38.86, 15921, 10, 17, 31
0, 2021/02/27 04:13:53.487, 75.02, 15921, 10, 17, 32
0, 2021/02/27 04:13:53.539, 39.36, 15921, 10, 18, 31
0, 2021/02/27 04:13:53.590, 83.95, 15921, 10, 18, 32
0, 2021/02/27 04:13:53.641, 39.88, 15921, 10, 18, 31
0, 2021/02/27 04:13:53.692, 86.04, 15921, 18, 30, 32
0, 2021/02/27 04:13:53.744, 39.91, 15921, 18, 30, 31
0, 2021/02/27 04:13:53.795, 89.96, 15921, 18, 30, 32
0, 2021/02/27 04:13:53.847, 39.88, 15921, 18, 30, 31
0, 2021/02/27 04:13:53.898, 112.57, 15921, 11, 22, 32
0, 2021/02/27 04:13:53.950, 40.33, 15921, 11, 22, 31
0, 2021/02/27 04:13:54.001, 38.86, 15921, 11, 22, 31
0, 2021/02/27 04:13:54.052, 82.41, 15921, 10, 17, 31
