index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/22 15:29:05.323, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:05.375, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:05.426, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:05.478, 73.08, 31452, 10, 18, 46
0, 2021/02/22 15:29:05.529, 58.53, 31452, 10, 17, 46
0, 2021/02/22 15:29:05.581, 58.53, 31452, 10, 17, 46
0, 2021/02/22 15:29:05.632, 58.53, 31452, 10, 17, 46
0, 2021/02/22 15:29:05.684, 89.07, 31452, 6, 11, 46
0, 2021/02/22 15:29:05.735, 59.01, 31452, 6, 11, 46
0, 2021/02/22 15:29:05.787, 58.53, 31452, 6, 11, 46
0, 2021/02/22 15:29:05.838, 58.53, 31452, 4, 8, 46
0, 2021/02/22 15:29:05.890, 117.11, 31452, 4, 8, 46
0, 2021/02/22 15:29:05.942, 59.99, 31452, 4, 8, 46
0, 2021/02/22 15:29:05.993, 58.53, 31452, 4, 8, 46
0, 2021/02/22 15:29:06.045, 58.04, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.096, 156.12, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.147, 61.45, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.199, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.251, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.302, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.354, 82.32, 31452, 7, 12, 46
0, 2021/02/22 15:29:06.405, 59.01, 31452, 7, 12, 46
0, 2021/02/22 15:29:06.457, 104.07, 31452, 7, 12, 46
0, 2021/02/22 15:29:06.508, 66.32, 31452, 12, 24, 46
0, 2021/02/22 15:29:06.560, 58.53, 31452, 12, 24, 46
0, 2021/02/22 15:29:06.612, 148.86, 31452, 12, 24, 46
0, 2021/02/22 15:29:06.663, 61.45, 31452, 12, 24, 46
0, 2021/02/22 15:29:06.715, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.766, 104.07, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.818, 59.50, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.869, 58.57, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.921, 75.03, 31452, 10, 18, 46
0, 2021/02/22 15:29:06.972, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.024, 118.98, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.075, 64.86, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.127, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.178, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.230, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.281, 151.38, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.333, 60.47, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.384, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.436, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.487, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.539, 72.60, 31452, 4, 7, 46
0, 2021/02/22 15:29:07.590, 59.01, 31452, 4, 7, 46
0, 2021/02/22 15:29:07.642, 58.57, 31452, 4, 7, 46
0, 2021/02/22 15:29:07.694, 58.53, 31452, 6, 11, 46
0, 2021/02/22 15:29:07.745, 143.14, 31452, 6, 11, 46
0, 2021/02/22 15:29:07.797, 60.47, 31452, 6, 11, 46
0, 2021/02/22 15:29:07.848, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.899, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:07.951, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:08.002, 93.45, 31452, 10, 16, 46
0, 2021/02/22 15:29:08.054, 59.50, 31452, 10, 16, 46
0, 2021/02/22 15:29:08.106, 58.53, 31452, 10, 16, 46
0, 2021/02/22 15:29:08.157, 58.53, 31452, 10, 16, 46
0, 2021/02/22 15:29:08.209, 158.55, 31452, 0, 2, 46
0, 2021/02/22 15:29:08.260, 61.45, 31452, 0, 2, 46
0, 2021/02/22 15:29:08.312, 58.53, 31452, 0, 2, 46
0, 2021/02/22 15:29:08.363, 98.25, 31452, 10, 18, 46
0, 2021/02/22 15:29:08.415, 67.29, 31452, 10, 18, 46
0, 2021/02/22 15:29:08.466, 58.57, 31452, 10, 18, 46
0, 2021/02/22 15:29:08.518, 145.56, 31452, 10, 20, 46
0, 2021/02/22 15:29:08.569, 62.42, 31452, 10, 20, 46
0, 2021/02/22 15:29:08.621, 58.57, 31452, 10, 20, 46
0, 2021/02/22 15:29:08.672, 143.14, 31452, 19, 31, 46
0, 2021/02/22 15:29:08.724, 60.47, 31452, 19, 31, 46
0, 2021/02/22 15:29:08.776, 58.53, 31452, 19, 31, 46
0, 2021/02/22 15:29:08.827, 96.36, 31452, 19, 31, 46
0, 2021/02/22 15:29:08.879, 59.54, 31452, 10, 19, 46
0, 2021/02/22 15:29:08.930, 58.53, 31452, 10, 19, 46
0, 2021/02/22 15:29:08.981, 58.53, 31452, 10, 19, 46
0, 2021/02/22 15:29:09.033, 144.98, 31452, 0, 2, 46
0, 2021/02/22 15:29:09.084, 60.47, 31452, 0, 2, 46
0, 2021/02/22 15:29:09.136, 58.53, 31452, 0, 2, 46
0, 2021/02/22 15:29:09.188, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.239, 141.10, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.291, 62.91, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.342, 58.57, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.394, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.445, 99.28, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.497, 66.80, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.549, 58.57, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.600, 58.57, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.651, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:09.703, 74.54, 31452, 8, 12, 46
0, 2021/02/22 15:29:09.755, 58.53, 31452, 8, 12, 46
0, 2021/02/22 15:29:09.806, 58.53, 31452, 8, 12, 46
0, 2021/02/22 15:29:09.858, 58.53, 31452, 2, 6, 46
0, 2021/02/22 15:29:09.909, 124.31, 31452, 2, 6, 46
0, 2021/02/22 15:29:09.960, 59.99, 31452, 2, 6, 46
0, 2021/02/22 15:29:10.012, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:10.063, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:10.115, 141.20, 31452, 10, 18, 46
0, 2021/02/22 15:29:10.166, 62.42, 31452, 10, 18, 46
0, 2021/02/22 15:29:10.218, 58.53, 31452, 10, 18, 46
0, 2021/02/22 15:29:10.270, 140.32, 31452, 10, 18, 46
0, 2021/02/22 15:29:10.321, 60.47, 31452, 10, 18, 46
