index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/02/24 15:41:04.318, 169.26, 31455, 50, 72, 35
0, 2021/02/24 15:41:04.370, 71.18, 31455, 50, 72, 35
0, 2021/02/24 15:41:04.423, 41.48, 31455, 50, 72, 34
0, 2021/02/24 15:41:04.478, 85.53, 31455, 21, 44, 34
0, 2021/02/24 15:41:04.530, 172.85, 31455, 21, 44, 35
0, 2021/02/24 15:41:04.583, 168.40, 31455, 21, 44, 36
0, 2021/02/24 15:41:04.643, 172.27, 31455, 51, 74, 36
0, 2021/02/24 15:41:04.696, 99.83, 31455, 51, 74, 36
0, 2021/02/24 15:41:04.749, 42.73, 31455, 51, 74, 35
0, 2021/02/24 15:41:04.803, 41.86, 31455, 27, 47, 35
0, 2021/02/24 15:41:04.856, 53.33, 31455, 27, 47, 35
0, 2021/02/24 15:41:04.910, 41.97, 31455, 27, 47, 34
0, 2021/02/24 15:41:04.964, 112.84, 31455, 13, 24, 35
0, 2021/02/24 15:41:05.016, 42.99, 31455, 13, 24, 35
0, 2021/02/24 15:41:05.069, 91.46, 31455, 13, 24, 34
0, 2021/02/24 15:41:05.124, 48.66, 31455, 15, 28, 35
0, 2021/02/24 15:41:05.177, 41.78, 31455, 15, 28, 34
0, 2021/02/24 15:41:05.229, 85.07, 31455, 15, 28, 34
0, 2021/02/24 15:41:05.284, 42.44, 31455, 9, 17, 34
0, 2021/02/24 15:41:05.337, 125.80, 31455, 9, 17, 34
0, 2021/02/24 15:41:05.390, 45.51, 31455, 9, 17, 34
0, 2021/02/24 15:41:05.444, 41.66, 31455, 9, 17, 34
0, 2021/02/24 15:41:05.497, 66.43, 31455, 9, 17, 35
0, 2021/02/24 15:41:05.550, 42.15, 31455, 9, 17, 34
0, 2021/02/24 15:41:05.605, 131.12, 31455, 9, 17, 34
0, 2021/02/24 15:41:05.655, 44.45, 31455, 19, 32, 34
0, 2021/02/24 15:41:05.708, 41.75, 31455, 19, 32, 34
0, 2021/02/24 15:41:05.761, 64.00, 31455, 19, 32, 35
0, 2021/02/24 15:41:05.813, 69.91, 31455, 9, 20, 34
0, 2021/02/24 15:41:05.866, 50.23, 31455, 9, 20, 35
0, 2021/02/24 15:41:05.919, 76.59, 31455, 9, 20, 34
0, 2021/02/24 15:41:05.972, 48.59, 31455, 19, 34, 35
0, 2021/02/24 15:41:06.026, 101.15, 31455, 19, 34, 34
0, 2021/02/24 15:41:06.079, 42.28, 31455, 19, 34, 34
0, 2021/02/24 15:41:06.160, 74.68, 31455, 9, 17, 35
0, 2021/02/24 15:41:06.213, 42.10, 31455, 9, 17, 35
0, 2021/02/24 15:41:06.266, 145.93, 31455, 9, 17, 34
0, 2021/02/24 15:41:06.319, 44.05, 31455, 19, 33, 35
0, 2021/02/24 15:41:06.372, 41.72, 31455, 19, 33, 34
0, 2021/02/24 15:41:06.427, 53.54, 31455, 19, 33, 35
0, 2021/02/24 15:41:06.479, 41.97, 31455, 9, 19, 34
0, 2021/02/24 15:41:06.532, 110.44, 31455, 9, 19, 35
0, 2021/02/24 15:41:06.587, 42.72, 31455, 9, 19, 34
0, 2021/02/24 15:41:06.643, 104.50, 31455, 9, 17, 34
0, 2021/02/24 15:41:06.696, 47.64, 31455, 9, 17, 35
0, 2021/02/24 15:41:06.749, 41.86, 31455, 9, 17, 34
0, 2021/02/24 15:41:06.802, 79.78, 31455, 18, 30, 35
0, 2021/02/24 15:41:06.855, 42.35, 31455, 18, 30, 34
0, 2021/02/24 15:41:06.908, 126.24, 31455, 18, 30, 35
0, 2021/02/24 15:41:06.961, 45.67, 31455, 10, 22, 35
0, 2021/02/24 15:41:07.014, 142.45, 31455, 10, 22, 34
0, 2021/02/24 15:41:07.068, 44.67, 31455, 10, 22, 35
0, 2021/02/24 15:41:07.121, 144.71, 31455, 10, 22, 35
